"GDDM","GDXM","BCRQ","CJBH","GSDM","CJSL","BCYE","ZQDM","SBSJ","CJSJ","CJJG","CJJE","SQBH","BS","MJBH"
"D890755588","","20090317",144316,"21257",7340,182840,"600596","093441","093441",38,278920,"  00000009","B","23136"
"D890755588","","20090317",144317,"21257",500,183340,"600596","093441","093441",38.6,19300,"  00000009","B","23136"
"D890755588","","20090317",149031,"21257",160,183500,"600596","093441","093454",38.2,6112,"  00000009","B","23136"
"D890755588","","20090317",171369,"21257",300,183800,"600596","093503","093550",38.2,11460,"  00000010","B","23136"
"D890755588","","20090317",176361,"21257",300,184100,"600596","093503","093603",38.2,11460,"  00000010","B","23136"
"D890755588","","20090317",179150,"21257",3000,187100,"600596","093503","093610",38.2,114600,"  00000010","B","23136"
"D890755588","","20090317",183062,"21257",2900,190000,"600596","093503","093619",38.2,110780,"  00000010","B","23136"
"D890755588","","20090317",200001,"21257",800,190800,"600596","093705","093706",38.2,30560,"  00000017","B","23136"
"D890755588","","20090317",200343,"21257",500,191300,"600596","093705","093707",38.2,19100,"  00000017","B","23136"
"D890755588","","20090317",205675,"21257",1000,192300,"600596","093705","093721",38.2,38200,"  00000017","B","23136"
"D890755588","","20090317",207017,"21257",900,193200,"600596","093705","093724",38.2,34380,"  00000017","B","23136"
"D890755588","","20090317",207305,"21257",100,193300,"600596","093705","093725",38.2,3820,"  00000017","B","23136"
"D890755588","","20090317",208974,"21257",100,193400,"600596","093705","093729",38.2,3820,"  00000017","B","23136"
"D890755588","","20090317",230105,"21257",5000,198400,"600596","093827","093827",38.2,191000,"  00000020","B","23136"
"D890755588","","20090317",295305,"21257",1100,199500,"600596","094134","094134",38.2,42020,"  00000034","B","23136"
"D890755588","","20090317",295306,"21257",500,200000,"600596","094134","094134",38.2,19100,"  00000034","B","23136"
"D890755588","","20090317",295307,"21257",100,200100,"600596","094134","094134",38.2,3820,"  00000034","B","23136"
"D890755588","","20090317",299973,"21257",300,200400,"600596","094134","094147",38.2,11460,"  00000034","B","23136"
"D890755588","","20090317",373151,"21257",300,200700,"600596","094403","094403",38.2,11460,"  00000040","B","23136"
"D890755588","","20090317",373152,"21257",300,201000,"600596","094403","094403",38.2,11460,"  00000040","B","23136"
"D890755588","","20090317",374772,"21257",100,201100,"600596","094403","094407",38.2,3820,"  00000040","B","23136"
"D890755588","","20090317",377098,"21257",1300,202400,"600596","094403","094412",38.2,49660,"  00000040","B","23136"
"D890755588","","20090317",437709,"21257",100,202500,"600596","094637","094644",38.2,3820,"  00000046","B","23136"
"D890755588","","20090317",439986,"21257",4900,207400,"600596","094637","094650",38.2,187180,"  00000046","B","23136"
"D890755588","","20090317",498409,"21257",100,207500,"600596","094857","094952",38.2,3820,"  00000050","B","23136"
"D890755588","","20090317",536880,"21257",100,207600,"600596","094857","095202",38.2,3820,"  00000050","B","23136"
"D890755588","","20090317",547319,"21257",3000,210600,"600596","095206","095233",38.2,114600,"  00000057","B","23136"
"D890755588","","20090317",549720,"21257",2000,212600,"600596","095206","095239",38.2,76400,"  00000057","B","23136"
"D890755588","","20090317",556359,"21257",600,213200,"600596","094857","095254",38.2,22920,"  00000050","B","23136"
"D890755588","","20090317",560117,"21257",2700,215900,"600596","094857","095304",38.2,103140,"  00000050","B","23136"
"D890755588","","20090317",579342,"21257",200,216100,"600596","094448","095352",38.2,7640,"  00000042","B","23136"
"D890755588","","20090317",581191,"21257",300,216400,"600596","095356","095356",38,11400,"  00000060","B","23136"
"D890755588","","20090317",581192,"21257",200,216600,"600596","095356","095356",38,7600,"  00000060","B","23136"
"D890755588","","20090317",581193,"21257",400,217000,"600596","095356","095356",38,15200,"  00000060","B","23136"
"D890755588","","20090317",581194,"21257",100,217100,"600596","095356","095356",38,3800,"  00000060","B","23136"
"D890755588","","20090317",581195,"21257",100,217200,"600596","095356","095356",38,3800,"  00000060","B","23136"
"D890755588","","20090317",581196,"21257",3000,220200,"600596","095356","095356",38,114000,"  00000060","B","23136"
"D890755588","","20090317",581197,"21257",500,220700,"600596","095356","095356",38,19000,"  00000060","B","23136"
"D890755588","","20090317",587398,"21257",400,221100,"600596","095356","095413",38,15200,"  00000060","B","23136"
"D890755588","","20090317",587399,"21257",100,221200,"600596","094448","095413",38,3800,"  00000042","B","23136"
"D890755588","","20090317",587581,"21257",700,221900,"600596","094448","095414",38,26600,"  00000042","B","23136"
"D890755588","","20090317",588534,"21257",800,222700,"600596","094448","095416",38,30400,"  00000042","B","23136"
"D890755588","","20090317",589169,"21257",200,222900,"600596","094448","095418",38,7600,"  00000042","B","23136"
"D890755588","","20090317",628825,"21257",200,223100,"600596","095557","095606",38,7600,"  00000063","B","23136"
"D890755588","","20090317",630798,"21257",200,223300,"600596","095557","095613",38,7600,"  00000063","B","23136"
"D890755588","","20090317",668304,"21257",1100,224400,"600596","095746","095750",38,41800,"  00000068","B","23136"
"D890755588","","20090317",696984,"21257",1000,225400,"600596","095917","095917",38,38000,"  00000075","B","23136"
"D890755588","","20090317",696985,"21257",100,225500,"600596","095917","095917",38,3800,"  00000075","B","23136"
"D890755588","","20090317",696986,"21257",100,225600,"600596","095917","095917",38,3800,"  00000075","B","23136"
"D890755588","","20090317",704176,"21257",350,225950,"600596","095917","095939",38,13300,"  00000075","B","23136"
